#,Name,City,Category,TikTok Category,Rating,Review Count,District,Distance,Distance Unit,Landmark,Save Count,Source Screenshot
25,Vietnamese Restaurant,Ho Chi Minh,,,,,District 1,450,m,Saigon Opera House,,IMG-20260716-WA0006.jpg
26,Cơm Tấm Dì Út Restaurant 7,Ho Chi Minh,Food & Drink,Broken Rice Restaurant,4.9,16,District 1,2.1,km,Vietnamese National B...,,IMG-20260716-WA0006.jpg
27,Meander Saigon Hostel 7,Ho Chi Minh,Accommodation,Hotel,5,21,District 1,705,m,Saigon Opera House,Near attractions,IMG-20260716-WA0007.jpg
28,Saigon Central Post Office 7,Hoi An,General,Post Office,,,Hoi An,909,m,Precious Heritage Art Ga...,7,IMG-20260716-WA0007.jpg
29,Metashow Art & Technology Exhibi... <7,Ho Chi Minh,Attraction,Arts and Cultural Attraction,,,District 2,2.2,km,Saigon Opera House,13K,IMG-20260716-WA0007.jpg
30,Thiso Mall Truong Chinh - Phan Hu... <7,Ho Chi Minh,General,Business Facility,,,Go Vap,,,Ward 14,100+,IMG-20260716-WA0007.jpg
31,Gem Café kí,Ho Chi Minh,Food & Drink,Cafe,4.8,184,District 1,1.5,km,Saigon Opera House,1.7K,IMG-20260716-WA0007.jpg
32,Cơm Tấm Bãi Rac Restaurant 7,Ho Chi Minh,Food & Drink,Broken Rice Restaurant,,,District 4,1.6,km,Saigon Opera House,48,IMG-20260716-WA0008.jpg
33,Nhà Ba Teria - Craft Matcha & Coffee </,Ho Chi Minh,Food & Drink,Coffee Shop,4.7,60,District 3,2.3,km,Vietnamese National...,500+,IMG-20260716-WA0008.jpg
34,Crab noodle Ba ba 7,Ho Chi Minh,Food & Drink,Specialty Restaurant,4.9,13,District 5,2.3,km,Vietnamese National...,100+,IMG-20260716-WA0008.jpg
35,Cafe Linh kí,Ho Chi Minh,Food & Drink,Cafe,4.9,63,District 1,667,m,Saigon Opera House,76,IMG-20260716-WA0008.jpg
36,MonoBooth 4,Ho Chi Minh,,,,,District 1,339,m,Saigon Opera House,100+,IMG-20260716-WA0008.jpg
37,LaMay - Authentic Handcrafted Vie... <7,Ho Chi Minh,Shopping,Retail and Lifestyle Store,,,District 1,239,m,Saigon Opera House,,IMG-20260716-WA0008.jpg
38,THE TIME VINTAGE WATCH kí,Ho Chi Minh,Shopping,Apparel and Accessories,,,Binh Thanh,2.2,km,Vinh Nghiem Temple,14,IMG-20260716-WA0009.jpg
39,Push Push Official Store 7,Ho Chi Minh,Shopping,Apparel and Accessories,,,District 1,2.7,km,Vietnamese National B...,8,IMG-20260716-WA0009.jpg
40,Onestudio kí,Ho Chi Minh,General,Lifestyle Services,,,District 1,2.3,km,Vietnamese National...,,IMG-20260716-WA0009.jpg
41,The Idiot Official ⁄,Ho Chi Minh,Shopping,Apparel and Accessories,,,District 1,2.8,km,Vietnamese National...,1,IMG-20260716-WA0009.jpg
42,Hoi An 7,Hoi An,General,City,,,"Quang Nam, Vietnam",,,,4.2K,IMG-20260716-WA0009.jpg
43,"Thanh Ha Pottery Village, Hoi An 7",Hoi An,Attraction,Attraction,4.9,401,Hoi An,,,Thanh Ha,200+,IMG-20260716-WA0009.jpg
44,Memories of Hoi An 7,Hoi An,Attraction,Performing Arts,5,812,Hoi An,788,m,Precious Heritage Art Ga...,,IMG-20260716-WA0009.jpg
45,HappyCow Le Hoi Banh Mi Chay kí,Hoi An,Food & Drink,Restaurant,,,Hoi An,713,m,Precious Heritage Art Gal...,,IMG-20260716-WA0010.jpg
46,Cham Islands 4,Hoi An,General,Places,,,"Quang Nam Province, Vietnam",,,,20,IMG-20260716-WA0010.jpg
47,The Lady Buddha 4,Da Nang,Attraction,Religious Destination,4.9,45,Cam Le,2.8,km,Quan The Am Pagoda,2,IMG-20260716-WA0010.jpg
48,My An Beach WV,Da Nang,Attraction,Beach,4.9,387,Ngu Hanh Son,1.3,km,My Khe Beach,100+,IMG-20260716-WA0010.jpg
49,Han market kí,Da Nang,Shopping,Shopping,,,Thanh Khe,1.5,km,Han River Bridge,7,IMG-20260716-WA0010.jpg
50,Wedooks kí,Ho Chi Minh,Shopping,Men's Clothing Store,,,Go Vap,2.0,km,Phù Châu miéu (Miếu N...,,IMG-20260716-WA0010.jpg
51,War Remnants Museum 7,Ho Chi Minh,Attraction,Museum,5,1.9K,District 3,2.2,km,Vietnamese National...,4.2K,IMG-20260716-WA0011.jpg
52,HISTORIC RELICS & CUCHI TUNNE... <7,Ho Chi Minh,Attraction,Landmark,4.9,3.2K,Cu Chi,,,Phu My Hung,2.8K,IMG-20260716-WA0011.jpg
53,Nguyén Trai Ví,Ho Chi Minh,Attraction,Notable Street,4.7,11K,District 5,1.9,km,Vietnamese National B...,7.7K,IMG-20260716-WA0011.jpg
54,Chợ Hoa Hồ Thị Ky 7,Ho Chi Minh,Shopping,Retail and Lifestyle Store,,,District 10,848,m,Vietnamese National...,1.4K,IMG-20260716-WA0011.jpg
55,Fantasy Park 4,Da Nang,Attraction,Theme Park,4.9,1.2K,Hoa Vang,806,m,Ba Na Hills,100+,IMG-20260716-WA0011.jpg
56,"Boulevard Gelato, Pastry & Coffee “Z",Da Nang,Food & Drink,Coffee Shop,4.8,28,Hai Chau,2.8,km,My Khe Beach,97,IMG-20260716-WA0011.jpg
57,Alpine Coaster WV,Da Nang,Attraction,Attraction,5,33,Hoa Vang,743,m,Ba Na Hills,,IMG-20260716-WA0011.jpg
58,MUUI Le Thanh Ton (Flagship store) </,Ho Chi Minh,Shopping,Home and Living,,,District 1,151,m,Saigon Opera House,200+,IMG-20260716-WA0012.jpg
59,TRIPLE-T 7,Ho Chi Minh,Shopping,Apparel and Accessories,,,District 1,544,m,Saigon Opera House,,IMG-20260716-WA0012.jpg
60,Bana Hill Muslim prayer room 4,Da Nang,Attraction,Mosque,,,Hoa Vang,789,m,Ba Na Hills,,IMG-20260716-WA0012.jpg
61,District 5 kí,Ho Chi Minh,General,City,,,"Ho Chi Minh, Vietnam",,,,10.8K,IMG-20260716-WA0012.jpg
62,District 10 4,Ho Chi Minh,General,District,,,"Ho Chi Minh City, Vietnam",,,,25K,IMG-20260716-WA0012.jpg
63,Mi Quảng Ong Hai - Mr. Hai Noodles <7,Hoi An,Food & Drink,Vietnamese Restaurant,,,Hoi An,21,m,Precious Heritage Art Gall...,4,IMG-20260716-WA0013.jpg
64,Hoi An ancient town WV,Hoi An,Attraction,Attraction,4.9,4.2K,Hoi An,703,m,Precious Heritage Art Ga...,500+,IMG-20260716-WA0013.jpg
65,Ba Buoi Chicken Rice kí,Hoi An,Food & Drink,Vietnamese Restaurant,5,11,Hoi An,455,m,Precious Heritage Art Ga...,16,IMG-20260716-WA0013.jpg
66,Bale Well restaurant 4,Hoi An,Food & Drink,Vietnamese Restaurant,,,Hoi An,502,m,Precious Heritage Art Ga...,20,IMG-20260716-WA0013.jpg
67,Hội An Market 4,Hoi An,Food & Drink,Food and Beverage Retail,,,Hoi An,2.3,km,Làng Dừa Xanh Coconut...,,IMG-20260716-WA0013.jpg
68,Retail and Lifestyle Store,Hoi An,,,,,Hoi An,715,m,Precious Heritage Art Gal...,,IMG-20260716-WA0013.jpg
69,Times Square Towers 4,Ho Chi Minh,General,Business Facility,,,District 1,345,m,Saigon Opera House,20,IMG-20260716-WA0014.jpg
70,Square One 4,Ho Chi Minh,Food & Drink,French Restaurant,,,District 1,88,m,Saigon Opera House,100+,IMG-20260716-WA0014.jpg
71,Tan Son Nhat International Airport </,Ho Chi Minh,Transport,Airport,,,Tan Binh,1.9,km,Pho Quang Pagoda,1.3K,IMG-20260716-WA0014.jpg
72,Margheri pizza Phu My Hung kí,Ho Chi Minh,Food & Drink,Italian Pizza Restaurant,4.9,17,District 7,393,m,CGV Vivo City,500+,IMG-20260716-WA0014.jpg
73,Pottery Mỹ Linh 7,Hoi An,Shopping,Shopping,,,Hoi An,,,Thanh Ha,22,IMG-20260716-WA0014.jpg
74,Danang International Airport kí,Da Nang,Transport,Airport,,,Hai Chau,,,1.ó km from Chùa Pháp Lâm,500+,IMG-20260716-WA0014.jpg
75,The Monkey Mountain,Da Nang,Attraction,Attraction,5,19,Son Tra,1.8,km,Linh Ung Pagoda,,IMG-20260716-WA0015.jpg
76,Thuận Phước Bridge,Da Nang,Attraction,Bridge,4.9,2.5K,Hai Chau,2.6,km,Han River Bridge,300+,IMG-20260716-WA0015.jpg
77,An Bang Beach,Hoi An,Attraction,Beach,4.9,1.6K,Hoi An,,,Cam An,300+,IMG-20260716-WA0015.jpg
78,Cam Thanh Coconut Village,Hoi An,Attraction,Attraction,4.9,158,Hoi An,,,,13,IMG-20260716-WA0015.jpg
79,Hoi An ancient town,Hoi An,General,Places,,,Hoi An,,,,400+,IMG-20260716-WA0015.jpg
80,Tra Que Vegetable Village,Hoi An,Attraction,Garden,5,25,Hoi An,508,m,Làng Dừa Xanh Coconut...,,IMG-20260716-WA0015.jpg
81,"Hội An Old Town, Cẩm Nam, Hội An, Quảng N...",Hoi An,,,,,Hoi An,2.9,km,Precious Heritage Art G...,,IMG-20260716-WA0015.jpg
82,The Roof - Da Nang kí,Da Nang,Food & Drink,Bars and Clubs,5,29,Son Tra,361,m,My Khe Beach,100+,IMG-20260716-WA0016.jpg
83,My Khe Beach kí,Da Nang,Attraction,Attraction,4.9,107,Ngu Hanh Son,861,m,My Khe Beach,2,IMG-20260716-WA0016.jpg
84,Bai Bién Xuan Thiéu 4,Da Nang,Attraction,Beach,4.6,27,Lien Chieu,,,Hoa Khanh Bac,5,IMG-20260716-WA0016.jpg
85,Son Tra Marina kí,Da Nang,Attraction,Pool and Beach Club,4.9,2.6K,Son Tra,1.2,km,Linh Ứng Pagoda,900+,IMG-20260716-WA0016.jpg
86,Ghềnh Bàng 7,Da Nang,Attraction,Beach,4.9,721,Son Tra,,,Tho Quang,400+,IMG-20260716-WA0016.jpg
87,Bãi Tắm Nam Ô 4,Da Nang,Attraction,Beach,4.9,772,Lien Chieu,,,Hoa Hiep Nam,500+,IMG-20260716-WA0016.jpg
88,Khu du lịch sinh thái Suối Hoa 7,Da Nang,Attraction,Attraction,4.6,56,Hoa Vang,,,Hòa Phú,,IMG-20260716-WA0016.jpg
89,Con Market,Da Nang,Food & Drink,Food and Beverage Retail,,,Hai Chau,1.5,km,Han River Bridge,300+,IMG-20260716-WA0017.jpg
90,Pham Van Déng Beach,Da Nang,Attraction,Beach,4.9,94,Son Tra,1.3,km,My Khe Beach,7,IMG-20260716-WA0017.jpg
91,Phở Thìn Hồ Nghinh,Da Nang,Food & Drink,Restaurant,,,Son Tra,419,m,My Khe Beach,,IMG-20260716-WA0017.jpg
92,Umi Town Izakaya,Da Nang,Food & Drink,Japanese Izakaya Restaurant,4.8,29,Son Tra,857,m,My Khe Beach,13,IMG-20260716-WA0017.jpg
93,Lanzhou beef noodles,Da Nang,Food & Drink,Chinese Noodle Restaurant,,,Son Tra,1.8,km,My Khe Beach,1,IMG-20260716-WA0017.jpg
94,HATE MONDAY DANANG Restaura... <7,Da Nang,Food & Drink,Cafe,,,Ngu Hanh Son,2.4,km,My Khe Beach,43,IMG-20260716-WA0017.jpg
95,The Roof - Da Nang,Da Nang,Food & Drink,Bars and Clubs,5,29,Son Tra,361,m,My Khe Beach,,IMG-20260716-WA0017.jpg
96,PHỞ VIET NAM 4,Ho Chi Minh,Food & Drink,Pho Restaurant,5,11,Go Vap,1.1,km,Phù Châu miếu (Miếu Nổi),12,IMG-20260716-WA0018.jpg
97,"Notre Dame, ho Cin Minh, Vietnam “Z",Ho Chi Minh,Attraction,Church,5,17,District 5,2.5,km,Vietnamese National...,1,IMG-20260716-WA0018.jpg
98,Đường sách Nguyễn Văn Bình V4,Ho Chi Minh,Shopping,Retail and Lifestyle Store,,,District 1,568,m,Saigon Opera House,34,IMG-20260716-WA0018.jpg
99,Pizza 4P's Ben Thanh 7,Ho Chi Minh,Food & Drink,Pizza Fast Food,4.9,266,District 1,2.7,km,Vietnamese National B...,100+,IMG-20260716-WA0018.jpg
100,Son Tra Peninsula kí,Da Nang,Attraction,Peninsula,4.9,16.4K,Son Tra,1.8,km,Linh Ứng Pagoda,3.3K,IMG-20260716-WA0018.jpg
101,The Monkey Mountain 4,Da Nang,Attraction,Attraction,5,19,Son Tra,1.8,km,Linh Ứng Pagoda,,IMG-20260716-WA0018.jpg
102,Memories of Hoi An kí,Hoi An,Attraction,Performing Arts,5,812,Hoi An,788,m,Precious Heritage Art Ga...,200+,IMG-20260716-WA0019.jpg
103,Hoi An Night Market 7,Hoi An,Food & Drink,Food and Beverage Retail,,,Hoi An,1.5,km,Precious Heritage Art Ga...,7,IMG-20260716-WA0019.jpg
104,Riverside Pottery Village Hoi An kí,Hoi An,Accommodation,Hotel,,,Hoi An,,,Thanh Hà,4,IMG-20260716-WA0019.jpg
105,Hidden Beach” Hoi An kí,Hoi An,Attraction,Beach,5,14,Hoi An,,,Cam An,,IMG-20260716-WA0019.jpg
106,HOI AN MEMORIES HOTEL by Fusion <7,Hoi An,Accommodation,Resort,4.9,175,Hoi An,642,m,Precious Heritage Art Ga...,Near attractions,IMG-20260716-WA0019.jpg
107,Minh Hiển 2 Vegetarian Restaurant </,Hoi An,Food & Drink,Vegetarian and Vegan Restaurant,,,Hoi An,1.1,km,Precious Heritage Art Gal...,,IMG-20260716-WA0019.jpg
108,Bò Né Ba Nii 4,Ho Chi Minh,Food & Drink,Other Cuisine,4.8,116,District 1,2.8,km,Vietnamese National...,200+,IMG-20260716-WA0020.jpg
109,Bánh Canh Cua 87 Trần Khắc Chân “Z,Ho Chi Minh,Food & Drink,Specialty Restaurant,4.9,25,District 1,2.4,km,Saigon Opera House,700+,IMG-20260716-WA0020.jpg
110,Banh Mi Huynh Hoa 7,Ho Chi Minh,Food & Drink,Banh Mi Restaurant,4.6,431,District 1,2.1,km,Vietnamese National B...,5.5K,IMG-20260716-WA0020.jpg
111,Banh Mi Ba Huynh (Madam Win) WV,Ho Chi Minh,Food & Drink,Banh Mi Restaurant,4.9,28,District 1,1.8,km,Vietnamese National B...,31,IMG-20260716-WA0020.jpg
112,Bún Thịt Nướng Chả Giò - Nguyễn T... <7,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,,,District 1,2.9,km,Vietnamese National B...,66,IMG-20260716-WA0020.jpg
113,Bep Me In nguyen thai binh kí,Ho Chi Minh,Food & Drink,Barbecue and Grill Restaurant,4.7,17,District 1,2.8,km,Vietnamese National...,4,IMG-20260716-WA0020.jpg
114,BUN CHA PHO CO 4,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,,,Phu Nhuan,1.0,km,Vinh Nghiem Temple,,IMG-20260716-WA0020.jpg
115,Tra Que Vegetable Village WV,Hoi An,Attraction,Garden,5,25,Hoi An,2.9,km,Precious Heritage Art G...,9,IMG-20260716-WA0021.jpg
116,Cham Islands 7,Hoi An,Attraction,Island,4.9,1.2K,Hoi An,,,Tan Hiep,200+,IMG-20260716-WA0021.jpg
117,Tran Thi Ly Bridge WV,Da Nang,Attraction,Bridge,5,17,Lien Chieu,,,Hoa Khanh Bac,,IMG-20260716-WA0021.jpg
118,Non Nuoc Beach 4,Da Nang,Attraction,Beach,5,152,Ngu Hanh Son,2.5,km,Quan The Am Pa...,13,IMG-20260716-WA0021.jpg
119,Golden Bridge 4,Ba Na Hills,Attraction,Bridge,4.9,1K,Hoa Vang,61,m,Ba Na Hills,200+,IMG-20260716-WA0021.jpg
120,Con Market 7,Da Nang,Food & Drink,Food and Beverage Retail,,,Hai Chau,1.5,km,Han River Bridge,,IMG-20260716-WA0021.jpg
121,Hoi An Old Town - Hoang Dieu Street <7,Hoi An,,,,,Hoi An,198,m,Precious Heritage Art Gal...,13,IMG-20260716-WA0022.jpg
122,Uncle huan coffee I,Hoi An,Food & Drink,Restaurant,4.9,33,Hoi An,799,m,Precious Heritage Art Ga...,28,IMG-20260716-WA0022.jpg
123,Oasis Cafe - Koi Fish Cafe kí,Ho Chi Minh,Food & Drink,Cafe,4.8,209,Go Vap,2.6,km,Vinh Nghiem Temple,100+,IMG-20260716-WA0022.jpg
124,Cafe Mien Thao Moc WV,Ho Chi Minh,Food & Drink,Cafe,4.9,587,District 11,2.8,km,CGV Su Vạn Hanh,1.7K,IMG-20260716-WA0022.jpg
125,Cái Tổ Chim 7,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,4.8,704,District 2,,,An Phú,3.6K,IMG-20260716-WA0022.jpg
126,The Cloudest 7,Ho Chi Minh,Activity,Leisure,4.7,339,District 2,,,An Phú,41K,IMG-20260716-WA0022.jpg
127,My Khe Beach 7,Da Nang,Attraction,Beach,5,1.3K,Hai Chau,2.8,km,My Khe Beach,100+,IMG-20260716-WA0023.jpg
128,Premier Village Danang Resort - Ma...</7,Da Nang,Accommodation,Resort,4.9,221,Ngu Hanh Son,2.3,km,My Khe Beach,Near attractions,IMG-20260716-WA0023.jpg
129,Ho Chi Minh City 7,Ho Chi Minh,General,Office and Industrial,,,District 2,2.8,km,Sala Park,47,IMG-20260716-WA0023.jpg
130,Ngẫm Cafe Ví,Ho Chi Minh,Food & Drink,Cafe,4.9,213,District 3,1.8,km,Vietnamese National...,86,IMG-20260716-WA0023.jpg
131,LOTTE Mart - District 7 7,Ho Chi Minh,Shopping,Shopping,,,District 7,1.1,km,CGV Vivo City,,IMG-20260716-WA0023.jpg
132,Hoa Vang - 61 m from Golden Bridge,Ba Na Hills,,,,,,,,,8.7K,IMG-20260716-WA0023.jpg
133,Sun World Ba Na Hills 7,Ba Na Hills,Attraction,Amusement Park,4.9,2.9K,Hoa Vang,2.0,km,Ba Na Hills Golf Club,,IMG-20260716-WA0023.jpg
134,Cơm Linh - Vietnamese Restaurant... <7,Hoi An,Food & Drink,Vietnamese Restaurant,5,16,Hoi An,494,m,Precious Heritage Art Ga...,9,IMG-20260716-WA0024.jpg
135,MISS HOI AN CAFE 7,Hoi An,Food & Drink,Cafe,4.9,18,Hoi An,2.3,km,Precious Heritage Art G...,7,IMG-20260716-WA0024.jpg
136,Old Rice Field / Coffee & Brunch WV,Hoi An,Food & Drink,Coffee Shop,,,Hoi An,2.1,km,Làng Dừa Xanh Coconut...,,IMG-20260716-WA0024.jpg
137,Madam Khanh - The Banh Mi Queen “ƒ,Hoi An,Food & Drink,Banh Mi Restaurant,4.9,31,Hoi An,791,m,Precious Heritage Art Gal...,16,IMG-20260716-WA0024.jpg
138,Phi banh mi kí,Hoi An,Food & Drink,Deli Restaurant,,,Hoi An,947,m,Precious Heritage Art Ga...,,IMG-20260716-WA0024.jpg
139,eX i King Koi Coffee Binh Tan 4,Ho Chi Minh,Food & Drink,Cafe,49,434,Binh Tan,982,m,CGV AEON Mall Binh T...,85,IMG-20260716-WA0025.jpg
140,Lạc Café kí,Ho Chi Minh,Food & Drink,Cafe,4.9,170,District 5,2.5,km,Vietnamese National...,500+,IMG-20260716-WA0025.jpg
141,PHO VIỆT NAM ⁄,Ho Chi Minh,Food & Drink,Restaurant,,,District 1,442,m,Saigon Opera House,,IMG-20260716-WA0025.jpg
142,Bún chả Hà Nội Xuân Tứ 7,Ho Chi Minh,Food & Drink,Gastropub,,,Tan Binh,2.4,km,Vinh Nghiem Temple,,IMG-20260716-WA0025.jpg
143,Dim Tu Tac District 1 kí,Ho Chi Minh,Food & Drink,Cantonese Restaurant,4.9,74,District 1,171,m,Saigon Opera House,100+,IMG-20260716-WA0025.jpg
144,Tau hi đá - bò bia Trương Định 7,Ho Chi Minh,Food & Drink,Restaurant,,,District 1,2.5,km,Vietnamese National...,1,IMG-20260716-WA0025.jpg
145,Bui Vien Walking Street kí,Ho Chi Minh,Attraction,Notable Street,4.9,14.9K,District 1,2.5,km,Vietnamese National...,,IMG-20260716-WA0025.jpg
146,Khu du lich sinh thái Suối Hoa 7,Da Nang,Attraction,Attraction,4.6,56,Hoa Vang,,,Hòa Phú,24,IMG-20260716-WA0026.jpg
147,Làng Vân kí,Da Nang,Attraction,Beach,5,15,Lien Chieu,2.8,km,Hai Van Pass,9,IMG-20260716-WA0026.jpg
148,Cong Ca Phe 7,Ho Chi Minh,Food & Drink,Coffee Shop,4.9,35,District 6,2.0,km,CGV AEON Mall Binh...,12,IMG-20260716-WA0026.jpg
149,Man Moi - Thảo Điền kí,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,4.8,55,District 2,2.5,km,Công viên Vinhomes...,29,IMG-20260716-WA0026.jpg
150,Secret Garden - Vietnamese Resta... <7,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,,,District 1,2.7,km,Vietnamese National B...,18,IMG-20260716-WA0026.jpg
151,Pho Mien Ga Ky Dong kí,Ho Chi Minh,Food & Drink,Pho Restaurant,4.8,32,District 3,1.6,km,Vietnamese National...,200+,IMG-20260716-WA0026.jpg
152,7` King Koi Coffee Bình Tân WV,Ho Chi Minh,Food & Drink,Cafe,4.9,454,Binh Tan,982,m,CGV AEON Mall Binh T...,,IMG-20260716-WA0026.jpg
153,Bana Brew House kí,Da Nang,Food & Drink,Restaurant,5,15,Hoa Vang,990,m,Ba Na Hills,,IMG-20260716-WA0027.jpg
154,Cuc Gach Restaurant 7,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,4.9,27,District 1,2.9,km,Vietnamese National B...,75,IMG-20260716-WA0027.jpg
155,Ho Chi Minh City 7,Ho Chi Minh,General,Places,,,"District 10, Thanh pho Ho Chi Minh, Viét Nam",,,,28.1K,IMG-20260716-WA0027.jpg
156,Cong Caphe 7,Ho Chi Minh,Food & Drink,Cafe,4.9,125,District 1,2.6,km,Vietnamese National...,100+,IMG-20260716-WA0027.jpg
157,Pizza 4P's 7,Ho Chi Minh,Food & Drink,Italian Pizza Restaurant,4.8,17,District 2,,,An Phu,32,IMG-20260716-WA0027.jpg
158,Little HaNoi Egg Coffee (Yersin) kí,Ho Chi Minh,Food & Drink,Drinks,5,78,District 1,2.5,km,Vietnamese National...,200+,IMG-20260716-WA0027.jpg
159,Quan hai san 63 kí,Ho Chi Minh,Food & Drink,Other Cuisine,,,District 4,1.5,km,Saigon Opera House,,IMG-20260716-WA0027.jpg
160,Bui Vien Walking Street 7,Ho Chi Minh,Attraction,Notable Street,4.9,14.9K,District 1,2.3,km,Vietnamese National...,5.8K,IMG-20260716-WA0028.jpg
161,Ben Thanh Mart kí,Ho Chi Minh,Food & Drink,Food and Beverage Retail,,,District 1,2.8,km,Vietnamese National...,600+,IMG-20260716-WA0028.jpg
162,Notre-Dame Cathedral Ho Chi Minh </,Ho Chi Minh,Attraction,Church,4.7,40,Go Vap,1.1,km,Phù Châu miếu (Miếu Nổi),3,IMG-20260716-WA0028.jpg
163,LPBank trụ sở Hồ Chí Minh 4,Ho Chi Minh,General,Bank,,,District 5,2.0,km,Vietnamese National...,,IMG-20260716-WA0028.jpg
164,Flower market 7,Ho Chi Minh,Food & Drink,Food and Beverage Retail,,,District 10,832,m,Vietnamese National...,1,IMG-20260716-WA0028.jpg
165,THE TIME VINTAGE WATCH 7,Ho Chi Minh,Shopping,Apparel and Accessories,,,Binh Thanh,2.2,km,Vinh Nghiem Temple,,IMG-20260716-WA0028.jpg
166,Bếp Cuốn Sài Gòn Vietnamese Rest... </,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,4.9,20,District 5,1.9,km,Vietnamese National B...,15,IMG-20260716-WA0029.jpg
167,X6i Ga Number One (Chinh Géc) kí,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,,,District 1,2.8,km,Vietnamese National...,79,IMG-20260716-WA0029.jpg
168,Hanmaeum BBQ - Nguyén Hué kí,Ho Chi Minh,Food & Drink,Korean Barbecue Restaurant,4.8,13,District 1,441,m,Saigon Opera House,24,IMG-20260716-WA0029.jpg
